Timestamp,open,high,low,close,volume,VWMA,ma_pdif,abs_pdif,RSI,MACD,Signal,MA20,20dSTD,UpperBand,LowerBand,Momentum,ROC
20230602142240,0.27416173570019,0.2980000000000018,0.28346456692914046,0.30511811023622215,4443137.0,395.42,0.2,0.16,46.48,-0.12,-0.16,395.41,0.28,395.97,394.85,0.41,0.001
20230602142245,0.30571992110452584,0.2879999999999967,0.2657480314960736,0.2775590551181182,5078658.0,395.41,0.07,0.14,43.61,-0.1,-0.15,395.39,0.27,395.93,394.85,0.31,0.0008
20230602142250,0.2781065088757373,0.26599999999999113,0.2559055118110365,0.24606299212598515,3968702.0,395.39,0.07,0.16,43.81,-0.1,-0.14,395.38,0.26,395.9,394.86,0.215,0.0005
20230602142255,0.24654832347138722,0.2779999999999916,0.2559055118110365,0.28149606299213303,5259935.0,395.38,0.12,0.18,56.93,-0.08,-0.13,395.37,0.26,395.89,394.85,0.41,0.001
20230602142300,0.27416173570019,0.3159999999999883,0.28346456692914046,0.322834645669289,5261485.0,395.39,0.32,0.21,61.06,-0.05,-0.11,395.37,0.26,395.89,394.85,0.71,0.0018
20230602142305,0.3234714003944674,0.32399999999999807,0.3070866141732296,0.29724409448819245,3826955.0,395.38,0.2,0.13,58.72,-0.04,-0.1,395.37,0.26,395.89,394.85,0.69,0.0017
20230602142310,0.2978303747534454,0.2799999999999869,0.29724409448819245,0.29133858267717017,4146179.0,395.38,0.17,0.03,59.61,-0.03,-0.08,395.36,0.25,395.86,394.86,0.08,0.0002
20230602142315,0.29191321499013156,0.34499999999998465,0.29724409448819245,0.35039370078740717,5581738.0,395.38,0.47,0.3,64.62,0.01,-0.07,395.37,0.25,395.87,394.87,0.55,0.0014
20230602142320,0.3510848126232702,0.3439999999999941,0.32086614173228156,0.3385826771653626,3987890.0,395.38,0.41,0.06,65.37,0.03,-0.05,395.38,0.27,395.92,394.84,0.58,0.0015
20230602142325,0.33925049309664246,0.3499999999999943,0.3385826771653626,0.3523622047244146,4955056.0,395.39,0.47,0.07,69.17,0.05,-0.03,395.41,0.28,395.97,394.85,0.4,0.001
20230602142330,0.3451676528599563,0.32799999999998875,0.3248031496063106,0.3287401574803255,3197354.0,395.42,0.32,0.12,56.52,0.05,-0.01,395.43,0.29,396.01,394.85,0.12,0.0003
20230602142335,0.3293885601577813,0.33199999999999363,0.32677165354331805,0.3169291338582809,3837296.0,395.44,0.24,0.06,59.69,0.05,0.0,395.46,0.29,396.04,394.88,0.2,0.0005
20230602142340,0.31755424063115356,0.3079999999999927,0.3228346456693032,0.3149606299212735,3997773.0,395.46,0.21,0.01,62.23,0.05,0.01,395.49,0.28,396.05,394.93,0.35,0.0009
