Time,Price open,Price high,Price low,Price close,Volume Volume
2023-06-02 14:13:45,394.74,394.79,394.74,394.79,573536.0
2023-06-02 14:13:46,394.76,394.87,394.76,394.87,716971.0
2023-06-02 14:13:47,394.73,394.85,394.73,394.85,716995.0
2023-06-02 14:13:48,394.85,394.85,394.85,394.85,286808.0
2023-06-02 14:13:49,394.85,394.85,394.79,394.85,717042.0
2023-06-02 14:13:50,394.81,394.81,394.78,394.78,573652.0
2023-06-02 14:13:51,394.81,394.83,394.81,394.83,1147323.0
2023-06-02 14:13:52,394.73,394.73,394.61,394.61,860509.0
2023-06-02 14:13:53,394.785,394.785,394.65,394.65,430280.0
2023-06-02 14:13:54,394.65,394.8,394.62,394.62,861551.0
2023-06-02 14:13:55,394.62,394.67,394.6,394.6,1006285.0
2023-06-02 14:13:56,394.62,394.62,394.56,394.56,718801.0
2023-06-02 14:13:57,394.56,394.6,394.56,394.59,862572.0
2023-06-02 14:13:58,394.59,394.59,394.55,394.55,1150116.0
2023-06-02 14:13:59,394.55,394.58,394.55,394.55,1150139.0
2023-06-02 14:14:00,394.55,394.55,394.36,394.36,1006399.0
2023-06-02 14:14:01,394.36,394.36,394.24,394.24,1006426.0
2023-06-02 14:14:02,394.24,394.3,394.18,394.18,1006497.0
2023-06-02 14:14:03,394.18,394.31,394.18,394.31,862726.0
2023-06-02 14:14:04,394.31,394.31,394.24,394.27,1006534.0
2023-06-02 14:14:05,394.27,394.48,394.27,394.48,862755.0
2023-06-02 14:14:06,394.48,394.575,394.43,394.5,1437945.0
2023-06-02 14:14:07,394.5,394.59,394.5,394.59,1006589.0
2023-06-02 14:14:08,394.59,394.59,394.54,394.54,1006614.0
2023-06-02 14:14:09,394.54,394.61,394.54,394.61,1006629.0
2023-06-02 14:14:10,394.61,394.65,394.61,394.65,575237.0
2023-06-02 14:14:11,394.65,394.65,394.58,394.58,862879.0
2023-06-02 14:14:12,394.58,394.58,394.58,394.58,575262.0
2023-06-02 14:14:13,394.58,394.7,394.58,394.7,1006719.0
2023-06-02 14:14:14,394.7,394.7,394.7,394.7,862934.0
2023-06-02 14:14:15,394.64,394.79,394.64,394.79,1006812.0
2023-06-02 14:14:16,394.76,394.825,394.755,394.825,863019.0
2023-06-02 14:14:17,394.85,394.925,394.85,394.92,863039.0
2023-06-02 14:14:18,394.9,395.06,394.9,395.06,863074.0
2023-06-02 14:14:19,395.06,395.06,394.94,394.94,1006958.0
2023-06-02 14:14:20,394.99,394.99,394.86,394.86,719281.0
2023-06-02 14:14:21,394.83,394.88,394.83,394.88,1007012.0
2023-06-02 14:14:22,394.88,394.88,394.86,394.86,863165.0
2023-06-02 14:14:23,394.88,394.88,394.87,394.87,575454.0
2023-06-02 14:14:24,394.87,394.87,394.84,394.84,721614.0
2023-06-02 14:14:25,394.8,394.8,394.8,394.8,866639.0
2023-06-02 14:14:26,394.77,394.895,394.77,394.81,722224.0
2023-06-02 14:14:27,394.9,395.025,394.9,395.025,866700.0
2023-06-02 14:14:28,395.02,395.02,394.99,394.99,1155625.0
2023-06-02 14:14:29,394.99,394.99,394.94,394.94,722280.0
2023-06-02 14:14:30,394.93,394.93,394.92,394.92,577846.0
2023-06-02 14:14:31,394.93,394.98,394.93,394.98,722321.0
2023-06-02 14:14:32,395.0,395.03,395.0,395.03,433398.0
2023-06-02 14:14:33,394.96,395.06,394.96,395.06,1011277.0
2023-06-02 14:14:34,395.06,395.14,395.055,395.07,866820.0
2023-06-02 14:14:35,395.05,395.125,395.05,395.05,1300255.0
2023-06-02 14:14:36,395.05,395.05,394.98,395.04,1011325.0
2023-06-02 14:14:37,395.07,395.07,395.05,395.05,577909.0
2023-06-02 14:14:38,395.05,395.05,395.04,395.04,722394.0
2023-06-02 14:14:39,395.09,395.16,395.02,395.16,1155878.0
2023-06-02 14:14:40,395.16,395.26,395.08,395.26,577949.0
2023-06-02 14:14:41,395.31,395.4,395.27,395.31,1589385.0
2023-06-02 14:14:42,395.31,395.34,395.29,395.29,1011447.0
2023-06-02 14:14:43,395.29,395.38,395.29,395.38,722501.0
2023-06-02 14:14:44,395.38,395.38,395.3,395.3,1011586.0
2023-06-02 14:14:45,395.3,395.33,395.3,395.33,1011611.0
2023-06-02 14:14:46,395.33,395.33,395.23,395.23,1011631.0
2023-06-02 14:14:47,395.23,395.3,395.23,395.3,578084.0
2023-06-02 14:14:48,395.21,395.22,395.16,395.16,1445238.0
2023-06-02 14:14:49,395.16,395.16,395.08,395.08,433577.0
2023-06-02 14:14:50,395.08,395.1,395.03,395.03,867163.0
2023-06-02 14:14:51,395.04,395.04,394.9,394.9,867189.0
2023-06-02 14:14:52,394.9,394.92,394.8250000000001,394.83,578135.0
2023-06-02 14:14:53,394.83,394.85,394.83,394.85,867214.0
2023-06-02 14:14:54,394.83,394.855,394.77,394.77,1160730.0
2023-06-02 14:14:55,394.84,394.915,394.84,394.915,872559.0
2023-06-02 14:14:56,394.95,394.95,394.92,394.92,436288.0
2023-06-02 14:14:57,394.92,394.92,394.89,394.89,727156.0
2023-06-02 14:14:58,394.89,394.95,394.89,394.95,581730.0
2023-06-02 14:14:59,394.95,394.95,394.88,394.88,581737.0
2023-06-02 14:15:00,394.88,394.95,394.875,394.875,727182.0
2023-06-02 14:15:01,395.065,395.065,394.905,394.905,581754.0
2023-06-02 14:15:02,394.905,394.97,394.905,394.97,727203.0
2023-06-02 14:15:03,395.01,395.01,394.92,394.95,1309172.0
2023-06-02 14:15:04,394.95,394.95,394.775,394.78,872847.0
2023-06-02 14:15:05,394.72,394.77,394.72,394.77,872866.0
2023-06-02 14:15:06,394.77,394.96,394.77,394.96,1018369.0
2023-06-02 14:15:07,394.78,394.78,394.78,394.78,872906.0
2023-06-02 14:15:08,394.87,394.9,394.87,394.9,727431.0
2023-06-02 14:15:09,394.9,394.9,394.86,394.86,436465.0
2023-06-02 14:15:10,394.9,394.9,394.89,394.89,1018434.0
2023-06-02 14:15:11,394.89,394.9,394.89,394.9,436486.0
2023-06-02 14:15:12,394.9,394.97,394.815,394.815,1018522.0
2023-06-02 14:15:13,394.78,394.8,394.78,394.8,1018545.0
2023-06-02 14:15:14,394.8,394.8,394.7,394.7,1018568.0
2023-06-02 14:15:15,394.7,394.7,394.59,394.67,1018584.0
2023-06-02 14:15:16,394.67,394.67,394.63,394.63,1018610.0
2023-06-02 14:15:17,394.62,394.685,394.62,394.68,727591.0
2023-06-02 14:15:18,394.68,394.68,394.68,394.68,873127.0
2023-06-02 14:15:19,394.74,394.74,394.63,394.63,727617.0
2023-06-02 14:15:20,394.63,394.65,394.58,394.58,1164217.0
2023-06-02 14:15:21,394.69,394.69,394.68,394.68,873176.0
2023-06-02 14:15:22,394.64,394.64,394.56,394.56,582134.0
2023-06-02 14:15:23,394.56,394.71,394.56,394.71,1018752.0
2023-06-02 14:15:24,394.665,394.75,394.665,394.685,877097.0
2023-06-02 14:15:25,394.685,394.75,394.685,394.74,584752.0
2023-06-02 14:15:26,394.74,394.8,394.66,394.8,877150.0
2023-06-02 14:15:27,394.8,394.8,394.72,394.72,730973.0
2023-06-02 14:15:28,394.72,394.72,394.71,394.72,877180.0
2023-06-02 14:15:29,394.72,395.065,394.72,395.03,1023399.0
2023-06-02 14:15:30,395.03,395.03,395.0,395.03,1023414.0
2023-06-02 14:15:31,395.03,395.1,395.03,395.1,877230.0
2023-06-02 14:15:32,395.1,395.1,395.05,395.05,731061.0
2023-06-02 14:15:33,395.05,395.05,395.03,395.03,1023554.0
2023-06-02 14:15:34,394.98,395.05,394.98,395.05,877345.0
2023-06-02 14:15:35,395.05,395.155,395.0,395.13,1169806.0
2023-06-02 14:15:36,395.23,395.23,395.16,395.16,438686.0
2023-06-02 14:15:37,395.16,395.16,395.08,395.1,731171.0
2023-06-02 14:15:38,395.1,395.19,395.1,395.19,877432.0
2023-06-02 14:15:39,395.25,395.25,395.2,395.25,731205.0
2023-06-02 14:15:40,395.25,395.27,395.25,395.27,438727.0
2023-06-02 14:15:41,395.35,395.35,395.34,395.34,877493.0
2023-06-02 14:15:42,395.36,395.405,395.36,395.405,1755067.0
2023-06-02 14:15:43,395.405,395.46,395.405,395.46,877548.0
2023-06-02 14:15:44,395.46,395.5,395.46,395.5,1023838.0
2023-06-02 14:15:45,395.5,395.5,395.49,395.49,1170134.0
2023-06-02 14:15:46,395.49,395.6,395.49,395.6,731352.0
2023-06-02 14:15:47,395.54,395.54,395.4,395.4,1170206.0
2023-06-02 14:15:48,395.4,395.455,395.37,395.37,1023947.0
2023-06-02 14:15:49,395.37,395.37,395.21,395.26,877687.0
2023-06-02 14:15:50,395.26,395.26,395.2,395.2,731412.0
2023-06-02 14:15:51,395.2,395.23,395.16,395.23,1023988.0
2023-06-02 14:15:52,395.2,395.21,395.2,395.21,1170291.0
2023-06-02 14:15:53,395.29,395.29,395.24,395.24,731446.0
