Time,Price open,Price high,Price low,Price close,Volume Volume
2023-06-02 14:13:45,394.74,394.87,394.73,394.85,3011352.0
2023-06-02 14:13:50,394.81,394.83,394.61,394.62,3873315.0
2023-06-02 14:13:55,394.62,394.67,394.55,394.55,4887913.0
2023-06-02 14:14:00,394.55,394.55,394.18,394.27,4888582.0
2023-06-02 14:14:05,394.27,394.61,394.27,394.61,5320532.0
2023-06-02 14:14:10,394.61,394.7,394.58,394.7,3883031.0
2023-06-02 14:14:15,394.64,395.06,394.64,394.94,4602902.0
2023-06-02 14:14:20,394.99,394.99,394.83,394.84,3886526.0
2023-06-02 14:14:25,394.8,395.025,394.77,394.94,4333468.0
2023-06-02 14:14:30,394.93,395.14,394.92,395.07,3611662.0
2023-06-02 14:14:35,395.05,395.16,394.98,395.16,4767761.0
2023-06-02 14:14:40,395.16,395.4,395.08,395.3,4912868.0
2023-06-02 14:14:45,395.3,395.33,395.08,395.08,4480141.0
2023-06-02 14:14:50,395.08,395.1,394.77,394.77,4340431.0
2023-06-02 14:14:55,394.84,394.95,394.84,394.88,3199470.0
2023-06-02 14:15:00,394.88,395.065,394.775,394.78,4218158.0
2023-06-02 14:15:05,394.72,394.96,394.72,394.86,3928037.0
2023-06-02 14:15:10,394.9,394.97,394.7,394.7,4510555.0
2023-06-02 14:15:15,394.7,394.74,394.59,394.63,4365529.0
2023-06-02 14:15:20,394.63,394.75,394.56,394.685,4515376.0
2023-06-02 14:15:25,394.685,395.065,394.66,395.03,4093454.0
2023-06-02 14:15:30,395.03,395.1,394.98,395.05,4532604.0
2023-06-02 14:15:35,395.05,395.25,395.0,395.25,3948300.0
2023-06-02 14:15:40,395.25,395.5,395.25,395.5,4972673.0
2023-06-02 14:15:45,395.5,395.6,395.21,395.26,4973326.0
2023-06-02 14:15:50,395.26,395.29,395.16,395.24,4539859.0
2023-06-02 14:15:55,395.24,395.42,395.24,395.37,4713539.0
2023-06-02 14:16:00,395.39,395.54,395.175,395.54,5452616.0
2023-06-02 14:16:05,395.65,395.69,395.47,395.55,4275246.0
2023-06-02 14:16:10,395.49,395.55,395.29,395.29,4423470.0
2023-06-02 14:16:15,395.245,395.41,395.245,395.41,4866456.0
2023-06-02 14:16:20,395.41,395.44,395.29,395.29,4574453.0
2023-06-02 14:16:25,395.29,395.365,395.17,395.24,4300896.0
2023-06-02 14:16:30,395.24,395.25,395.02,395.03,4449949.0
2023-06-02 14:16:35,395.03,395.3,395.03,395.15,4153699.0
2023-06-02 14:16:40,395.11,395.5,395.06,395.42,4154280.0
2023-06-02 14:16:45,395.42,395.54,395.33,395.53,4748378.0
2023-06-02 14:16:50,395.4450000000001,395.45,395.3,395.34,4158754.0
2023-06-02 14:16:55,395.34,395.42,395.27,395.28,3879795.0
2023-06-02 14:17:00,395.21,395.33,395.18,395.28,4328201.0
2023-06-02 14:17:05,395.28,395.6,395.28,395.56,4925918.0
2023-06-02 14:17:10,395.585,395.905,395.51,395.905,4777151.0
2023-06-02 14:17:15,395.9500000000001,395.98,395.71,395.815,4777765.0
2023-06-02 14:17:20,395.815,396.11,395.8,396.11,4783673.0
2023-06-02 14:17:25,395.97,396.01,395.78,395.78,4964567.0
2023-06-02 14:17:30,395.78,395.94,395.78,395.92,4213366.0
2023-06-02 14:17:35,395.9500000000001,395.9500000000001,395.8,395.845,3762709.0
2023-06-02 14:17:40,395.88,396.085,395.86,396.08,4967890.0
2023-06-02 14:17:45,396.08,396.1,395.89,395.89,4668100.0
2023-06-02 14:17:50,395.91,395.91,395.53,395.64,4221209.0
2023-06-02 14:17:55,395.64,395.67,395.34,395.49,4399441.0
2023-06-02 14:18:00,395.49,395.625,395.4,395.5,4855294.0
2023-06-02 14:18:05,395.35,395.54,395.27,395.53,5007785.0
2023-06-02 14:18:10,395.53,395.67,395.315,395.67,4704968.0
2023-06-02 14:18:15,395.57,395.65,395.46,395.52,4553946.0
2023-06-02 14:18:20,395.52,395.72,395.46,395.72,3644385.0
2023-06-02 14:18:25,395.66,395.88,395.66,395.88,5024725.0
2023-06-02 14:18:30,395.87,396.07,395.77,395.84,4872962.0
2023-06-02 14:18:35,395.84,395.945,395.76,395.9,4264320.0
2023-06-02 14:18:40,395.89,395.93,395.77,395.85,5330873.0
2023-06-02 14:18:45,395.85,396.075,395.81,396.0,3808151.0
2023-06-02 14:18:50,396.04,396.14,396.02,396.07,4878120.0
2023-06-02 14:18:55,396.07,396.09,395.8,395.87,4437902.0
2023-06-02 14:19:00,395.87,396.13,395.87,396.035,5204773.0
2023-06-02 14:19:05,396.11,396.19,396.02,396.19,5052528.0
2023-06-02 14:19:10,396.19,396.2,396.09,396.15,5206472.0
2023-06-02 14:19:15,396.15,396.15,395.81,395.925,5666966.0
2023-06-02 14:19:20,395.85,395.98,395.84,395.92,3984151.0
2023-06-02 14:19:25,395.92,396.155,395.92,396.12,4768915.0
2023-06-02 14:19:30,396.12,396.12,395.92,396.0,3077029.0
2023-06-02 14:19:35,396.0,396.13,395.97,395.97,3385110.0
2023-06-02 14:19:40,395.93,396.2,395.93,396.01,4924934.0
2023-06-02 14:19:45,396.01,396.1,395.97,395.97,4310266.0
2023-06-02 14:19:50,395.97,396.06,395.92,396.06,4158011.0
2023-06-02 14:19:55,396.09,396.16,396.04,396.05,4629243.0
2023-06-02 14:20:00,396.135,396.17,395.84,395.935,4938315.0
2023-06-02 14:20:05,395.92,395.95,395.81,395.81,4784538.0
2023-06-02 14:20:10,395.81,396.01,395.76,395.95,4785290.0
2023-06-02 14:20:15,395.95,396.01,395.81,395.83,4786427.0
2023-06-02 14:20:20,395.83,395.98,395.745,395.9,4944539.0
2023-06-02 14:20:25,395.9,396.08,395.89,396.08,4805123.0
2023-06-02 14:20:30,396.09,396.18,395.86,395.86,4805926.0
2023-06-02 14:20:35,395.86,396.08,395.86,396.08,3876313.0
2023-06-02 14:20:40,396.08,396.385,396.08,396.35,4032524.0
2023-06-02 14:20:45,396.25,396.25,396.0,396.04,5118786.0
2023-06-02 14:20:50,396.04,396.21,396.01,396.03,4966923.0
2023-06-02 14:20:55,396.03,396.12,395.95,395.98,4368383.0
2023-06-02 14:21:00,395.98,395.98,395.66,395.77,5461435.0
2023-06-02 14:21:05,395.83,395.83,395.7,395.71,4837984.0
2023-06-02 14:21:10,395.76,395.76,395.61,395.67,4682310.0
2023-06-02 14:21:15,395.5,395.685,395.42,395.6,4682706.0
2023-06-02 14:21:20,395.68,395.82,395.64,395.7,5623633.0
2023-06-02 14:21:25,395.7,395.7,395.51,395.55,5173933.0
