Time,Price,Volume
2023-06-02 14:13:45,394.74,
2023-06-02 14:13:45,394.74,143381.0
2023-06-02 14:13:45,394.74,143381.0
2023-06-02 14:13:45,394.79,143381.0
2023-06-02 14:13:45,394.79,143393.0
2023-06-02 14:13:46,394.76,143394.0
2023-06-02 14:13:46,394.76,143394.0
2023-06-02 14:13:46,394.76,143394.0
2023-06-02 14:13:46,394.76,143394.0
2023-06-02 14:13:46,394.87,143395.0
2023-06-02 14:13:47,394.73,143398.0
2023-06-02 14:13:47,394.73,143398.0
2023-06-02 14:13:47,394.73,143398.0
2023-06-02 14:13:47,394.85,143398.0
2023-06-02 14:13:47,394.85,143403.0
2023-06-02 14:13:48,394.85,143404.0
2023-06-02 14:13:48,394.85,143404.0
2023-06-02 14:13:49,394.85,143404.0
2023-06-02 14:13:49,394.79,143407.0
2023-06-02 14:13:49,394.85,143407.0
2023-06-02 14:13:49,394.85,143412.0
2023-06-02 14:13:49,394.85,143412.0
2023-06-02 14:13:50,394.81,143412.0
2023-06-02 14:13:50,394.81,143413.0
2023-06-02 14:13:50,394.81,143413.0
2023-06-02 14:13:50,394.78,143414.0
2023-06-02 14:13:51,394.81,143414.0
2023-06-02 14:13:51,394.81,143415.0
2023-06-02 14:13:51,394.81,143415.0
2023-06-02 14:13:51,394.81,143415.0
2023-06-02 14:13:51,394.81,143415.0
2023-06-02 14:13:51,394.83,143415.0
2023-06-02 14:13:51,394.83,143417.0
2023-06-02 14:13:51,394.83,143417.0
2023-06-02 14:13:52,394.73,143417.0
2023-06-02 14:13:52,394.73,143418.0
2023-06-02 14:13:52,394.73,143418.0
2023-06-02 14:13:52,394.73,143418.0
2023-06-02 14:13:52,394.61,143418.0
2023-06-02 14:13:52,394.61,143420.0
2023-06-02 14:13:53,394.78499999999997,143420.0
2023-06-02 14:13:53,394.65,143430.0
2023-06-02 14:13:53,394.65,143430.0
2023-06-02 14:13:54,394.65,143430.0
2023-06-02 14:13:54,394.65,143430.0
2023-06-02 14:13:54,394.8,143431.0
2023-06-02 14:13:54,394.8,143753.0
2023-06-02 14:13:54,394.69,143753.0
2023-06-02 14:13:54,394.62,143754.0
2023-06-02 14:13:55,394.62,143754.0
2023-06-02 14:13:55,394.67,143754.0
2023-06-02 14:13:55,394.67,143755.0
2023-06-02 14:13:55,394.67,143755.0
2023-06-02 14:13:55,394.67,143755.0
2023-06-02 14:13:55,394.6,143756.0
2023-06-02 14:13:55,394.6,143756.0
2023-06-02 14:13:56,394.62,143760.0
2023-06-02 14:13:56,394.62,143760.0
2023-06-02 14:13:56,394.62,143760.0
2023-06-02 14:13:56,394.62,143760.0
2023-06-02 14:13:56,394.56,143761.0
2023-06-02 14:13:57,394.56,143761.0
2023-06-02 14:13:57,394.6,143761.0
2023-06-02 14:13:57,394.6,143762.0
2023-06-02 14:13:57,394.6,143762.0
2023-06-02 14:13:57,394.59,143763.0
2023-06-02 14:13:57,394.59,143763.0
2023-06-02 14:13:58,394.59,143763.0
2023-06-02 14:13:58,394.59,143763.0
2023-06-02 14:13:58,394.59,143763.0
2023-06-02 14:13:58,394.59,143765.0
2023-06-02 14:13:58,394.59,143765.0
2023-06-02 14:13:58,394.55,143765.0
2023-06-02 14:13:58,394.55,143766.0
2023-06-02 14:13:58,394.55,143766.0
2023-06-02 14:13:59,394.55,143766.0
2023-06-02 14:13:59,394.55,143766.0
2023-06-02 14:13:59,394.58,143766.0
2023-06-02 14:13:59,394.58,143768.0
2023-06-02 14:13:59,394.58,143768.0
2023-06-02 14:13:59,394.58,143768.0
2023-06-02 14:13:59,394.55,143768.0
2023-06-02 14:13:59,394.55,143769.0
2023-06-02 14:14:00,394.55,143769.0
2023-06-02 14:14:00,394.55,143769.0
2023-06-02 14:14:00,394.49,143772.0
2023-06-02 14:14:00,394.36,143772.0
2023-06-02 14:14:00,394.36,143772.0
2023-06-02 14:14:00,394.36,143772.0
2023-06-02 14:14:00,394.36,143773.0
2023-06-02 14:14:01,394.36,143773.0
2023-06-02 14:14:01,394.36,143773.0
2023-06-02 14:14:01,394.3,143774.0
2023-06-02 14:14:01,394.24,143774.0
2023-06-02 14:14:01,394.24,143774.0
2023-06-02 14:14:01,394.24,143774.0
2023-06-02 14:14:01,394.24,143784.0
2023-06-02 14:14:02,394.24,143784.0
2023-06-02 14:14:02,394.24,143784.0
2023-06-02 14:14:02,394.3,143785.0
2023-06-02 14:14:02,394.3,143785.0
2023-06-02 14:14:02,394.18,143785.0
2023-06-02 14:14:02,394.18,143787.0
2023-06-02 14:14:02,394.18,143787.0
2023-06-02 14:14:03,394.18,143787.0
2023-06-02 14:14:03,394.18,143787.0
2023-06-02 14:14:03,394.18,143787.0
2023-06-02 14:14:03,394.3,143788.0
2023-06-02 14:14:03,394.3,143788.0
2023-06-02 14:14:03,394.31,143789.0
2023-06-02 14:14:04,394.31,143789.0
2023-06-02 14:14:04,394.24,143789.0
2023-06-02 14:14:04,394.24,143791.0
2023-06-02 14:14:04,394.24,143791.0
2023-06-02 14:14:04,394.24,143791.0
2023-06-02 14:14:04,394.27,143791.0
